File_name,cgpa,sgpa
23010905015_1800265979.html,6.87,6.87
22010505054_1800265771.html,1.23,1.38
21011003008_1800265760.html,7.71,7.77
21010304026_1800265986.html,2.63,2.62
22011503006_1800265758.html,6.31,5.58
22010501067_1800265929.html,4.52,4.17
20010505004_1800265275.html,2.86,1.92
21011203003_1800265589.html,5.35,3.65
21010107010_1800265771.html,6.35,5.17
20010203001_1800265284.html,7.37,6.13
21010505028_1800265549.html,7.270833333,7.208333333
21021101001_1800265931.html,5.71,4.81
21021201009_1800265934.html,3.57,3.74
20011103004_1800265760.html,6.31,6.04
23011203001_1800266016.html,2.65,2.65
21021005003_1800265551.html,6.48,6.07
20010305059_1800265532.html,8.63,8.04
20010203002_1800265591.html,7.38,7.33
21010301042_1800265813.html,7.64,7.38
21010203018_1800265299.html,7.19,7.04
20010104062_1800265600.html,5.77,4.04
21011003009_1800265362.html,4.46,4.46
21021001002_1800265789.html,6.9,6.54
22010101023_1800265786.html,4.33,4.33
22011303040_1800266006.html,5.21,5.21
21010101005_1800265930.html,4.43,3.54
21020203001_1800266013.html,7.60483871,8.347826087
22010301058_1800265467.html,3.79,3.79
20010203021_1800265760.html,6.01,5.21
22010103047_1800266003.html,4.38,4.38
22010104005_1800265815.html,2.9,2.71
21021005006_1800265775.html,5.97,5.22
22010205029_1800265899.html,5.33,5.33
22020505004_1800265903.html,8.51,8.81
20010401025_1800265814.html,7.19,6.19
20010603001_1800265761.html,7.1,7.15
21010205020_1800265899.html,6.13,6.13
20010603050_1800265243.html,7.92,8.19
21011303018_1800265760.html,4.99,5
20010305001_1800265275.html,8.16,8.27
22011303048_1800266009.html,4.222222222,3.625
22010301023_1800265930.html,4.89,5.04
22011103009_1800266007.html,5.79,4.96
21010505020_1800265548.html,2.67,2.67
20010104042_1800265817.html,7.84,7.35
20010905003_1800265904.html,5.9,3.78
21010401004_1800265930.html,3.97,2.5
23010406009_1800265980.html,2.61,2.61
20010305035_1800265532.html,7.98,8.07
21011201011_1800265788.html,4.19,2.23
20010104011_1800265600.html,7.92,7.29
23020203003_1800266009.html,8.846153846,8.846153846
21011203015_1800265362.html,8.08,8.08
20010501012_1800265934.html,4.24,5.13
20010301004_1800265331.html,7.19,5.81
21021201009_1800265814.html,3.33,2.7
23010505031_1800265979.html,6.61,6.61
20011005007_1800265275.html,5.56,4.11
20011103013_1800265759.html,7.39,6.77
21010301051_1800265787.html,6.4,6.13
22010304010_1800265516.html,6.75,6.75
20010101041_1800265934.html,5.43,4.96
23010107023_1800265981.html,6.74,6.74
21010107018_1800265914.html,4.54,4.54
21011003008_1800265588.html,7.81,7.38
21020901027_1800265469.html,7.39,7.12
20011005007_1800265774.html,5.98,4.76
