file_name,sgpa,cgpa
20011614003_1800265372.html,914,
20011614003_1800265434.html,2,800
20011614003_1800265728.html,86666666667,
20011614003_1800265846.html,1,892
20011614005_1800265372.html,664,404
20011614005_1800265434.html,2,815
20011614005_1800265728.html,84666666667,
20011614005_1800265846.html,1,842
20011614006_1800265372.html,843,
20011614006_1800265434.html,2,792
20011614006_1800265728.html,81333333333,
20011614006_1800265846.html,1,842
20011614007_1800265372.html,850,
20011614007_1800265434.html,2,754
20011614007_1800265728.html,86666666667,
20011614007_1800265846.html,1,833
20011614010_1800265372.html,871,
20011614010_1800265434.html,2,815
20011614010_1800265728.html,88666666667,
20011614010_1800265846.html,1,917
20011614011_1800265372.html,921,
20011614011_1800265434.html,2,800
20011614011_1800265728.html,84666666667,
20011614011_1800265846.html,1,883
20011614012_1800265372.html,871,
20011614012_1800265434.html,2,785
20011614012_1800265728.html,85333333333,
20011614012_1800265846.html,1,875
20011614013_1800265372.html,829,
20011614013_1800265434.html,2,785
20011614013_1800265728.html,83333333333,
20011614013_1800265846.html,1,858
20011614015_1800265372.html,807,
20011614015_1800265434.html,2,746
20011614015_1800265728.html,81333333333,
20011614015_1800265846.html,1,825
20011614016_1800265372.html,814,
20011614016_1800265434.html,2,746
20011614016_1800265728.html,82666666667,
20011614016_1800265846.html,1,808
20011614017_1800265372.html,829,
20011614017_1800265434.html,2,762
20011614017_1800265728.html,83333333333,
20011614017_1800265846.html,1,783
20011614019_1800265372.html,807,
20011614019_1800265434.html,2,692
20011614019_1800265728.html,84666666667,
20011614019_1800265846.html,1,817
20011614022_1800265372.html,893,
20011614022_1800265434.html,2,762
20011614022_1800265728.html,84666666667,
20011614022_1800265846.html,1,867
20011614023_1800265372.html,814,
20011614023_1800265434.html,2,708
20011614023_1800265728.html,79333333333,
20011614023_1800265846.html,1,808
20011614024_1800265372.html,843,
20011614024_1800265434.html,2,731
20011614024_1800265728.html,83333333333,
20011614024_1800265846.html,1,842
20011614025_1800265372.html,821,
20011614025_1800265434.html,2,731
20011614025_1800265728.html,83333333333,
20011614025_1800265846.html,1,833
20011614026_1800265372.html,921,
20011614026_1800265434.html,2,800
20011614026_1800265728.html,84666666667,
20011614026_1800265846.html,1,908
20011614027_1800265372.html,907,
20011614027_1800265434.html,2,823
20011614027_1800265728.html,88666666667,
20011614027_1800265846.html,1,892
20011614029_1800265370.html,752,
20011614029_1800265372.html,279,401402404405
20011614029_1800265432.html,2,717
20011614029_1800265433.html,2,
20011614029_1800265434.html,2,
20011614029_1800265726.html,,405
20011614029_1800265727.html,,502503504
20011614029_1800265728.html,,604605
20011614029_1800265843.html,2,621
20011614029_1800265845.html,2,633
20011614029_1800265846.html,1,692
20011614030_1800265372.html,771,
20011614030_1800265434.html,2,715
20011614030_1800265728.html,82666666667,
20011614030_1800265846.html,1,817
20011614031_1800265372.html,821,
20011614031_1800265434.html,2,754
20011614031_1800265728.html,83333333333,
20011614031_1800265846.html,1,850
20011614032_1800265372.html,893,
20011614032_1800265434.html,2,785
20011614032_1800265728.html,87333333333,
20011614032_1800265846.html,1,892
20011614033_1800265372.html,864,
20011614033_1800265434.html,2,754
20011614033_1800265728.html,85333333333,
20011614033_1800265846.html,1,858
20011614035_1800265372.html,729,
20011614035_1800265434.html,2,715
20011614035_1800265728.html,81333333333,
20011614035_1800265846.html,1,850
20011614036_1800265372.html,850,
20011614036_1800265434.html,2,746
20011614036_1800265728.html,83333333333,
20011614036_1800265846.html,1,842
20011614037_1800265372.html,850,
20011614037_1800265434.html,2,792
20011614037_1800265728.html,83333333333,
20011614037_1800265846.html,1,875
20011614039_1800265372.html,807,
